,onset,offset,label,onset_sample,offset_sample,length,corrcoeff
0,61.0962,61.103267,1,1832886,1833098,212,0.586480333972178
1,61.7701,61.794,1,1853103,1853820,717,0.7627303214104678
2,70.039367,70.0483,1,2101181,2101449,268,0.28832732404960204
3,70.056333,70.072033,1,2101689,2102160,471,0.5277437650139446
4,70.076333,70.081967,1,2102289,2102459,170,0.056722140312611455
5,70.0854,70.089867,1,2102562,2102696,134,-0.4183756159247677
6,70.093267,70.1032,1,2102798,2103096,298,0.1628882337951914
7,70.107067,70.120733,1,2103212,2103621,409,0.42774397438498213
8,70.1223,70.133967,1,2103669,2104019,350,0.040184742987330935
9,70.135133,70.150167,1,2104053,2104505,452,0.6011366499369848
10,70.1559,70.1597,1,2104677,2104791,114,
11,70.162367,70.175767,1,2104871,2105273,402,0.5390597736895983
12,72.542067,72.550067,1,2176262,2176502,240,0.2911133586740358
13,72.916433,72.926267,1,2187492,2187788,296,0.3705353124264179
14,73.0435,73.047467,1,2191305,2191424,119,0.6330393097890471
15,78.362333,78.365667,1,2350869,2350970,101,
16,78.3808,78.384167,1,2351424,2351525,101,0.6982239624821361
17,78.385467,78.3885,1,2351564,2351655,91,
18,78.399067,78.402733,1,2351972,2352081,109,0.4767522302904463
19,78.4038,78.407167,1,2352114,2352215,101,0.6744305104687759
20,78.409733,78.4136,1,2352291,2352408,117,
21,78.570867,78.695667,1,2357126,2360870,3744,0.7042133386134326
22,80.9522,80.961067,1,2428566,2428832,266,0.49418860010888543
23,80.986233,80.9949,1,2429586,2429847,261,0.24834894739597027
24,81.1598,81.1668,1,2434794,2435004,210,0.4413086726040898
25,81.519467,81.524033,1,2445584,2445720,136,0.37600738063021855
26,85.198233,85.206267,1,2555946,2556188,242,0.20806886602250996
27,85.211067,85.262867,1,2556332,2557886,1554,0.8357575984998967
28,85.2652,85.318033,1,2557956,2559540,1584,0.8258837952204917
29,86.2165,86.222833,1,2586495,2586684,189,0.4555494786151295
30,86.2377,86.241667,1,2587131,2587250,119,
31,86.264467,86.2692,1,2587934,2588076,142,0.066106382668961
32,86.624133,86.635133,1,2598723,2599053,330,0.22352992865693747
33,86.644433,86.659233,1,2599332,2599776,444,0.35546529405757477
34,86.662867,86.684667,1,2599886,2600540,654,0.08028287972343758
35,86.685933,86.702533,1,2600577,2601075,498,-0.03173798232048269
36,86.812833,86.819033,1,2604384,2604570,186,-0.021699188803056668
37,86.820967,86.845867,1,2604629,2605376,747,0.17187089877650522
38,86.849633,86.8565,1,2605488,2605695,207,0.1621699096552011
39,86.862833,86.888933,1,2605884,2606667,783,0.06155765556952828
40,86.890633,86.8982,1,2606718,2606946,228,0.16053751883428252
41,86.899367,86.966267,1,2606981,2608988,2007,0.044848837729663395
42,87.025033,87.036967,1,2610750,2611109,359,0.33325047072126174
43,87.0407,87.055333,1,2611221,2611659,438,0.02301494686235868
44,87.056367,87.069267,1,2611691,2612078,387,0.0153375402056842
45,87.071833,87.076967,1,2612154,2612309,155,0.3367928785239678
46,87.111733,87.122133,1,2613351,2613663,312,0.1076448232872564
47,87.138967,87.1468,1,2614169,2614404,235,
48,87.150367,87.176967,1,2614511,2615309,798,0.0783625352021334
49,87.197567,87.201833,1,2615927,2616054,127,
50,87.206733,87.216367,1,2616201,2616491,290,0.3897885482030246
51,87.224533,87.228067,1,2616735,2616842,107,0.2739676286404378
52,87.266433,87.2798,1,2617992,2618394,402,0.40520679557831135
53,87.3215,87.3486,1,2619645,2620458,813,0.044838595257792026
54,87.397267,87.402033,1,2621918,2622060,142,
55,87.416733,87.4277,1,2622501,2622831,330,0.3659563993307223
56,87.4906,87.5131,1,2624718,2625393,675,-0.013705188362529857
57,87.525833,87.528833,1,2625774,2625864,90,-0.07238382665733194
58,87.574767,87.578233,1,2627243,2627346,103,
59,87.582667,87.5858,1,2627480,2627574,94,-0.25700360000589356
60,87.5879,87.594767,1,2627637,2627843,206,-0.05042207522933924
61,87.6283,87.6533,1,2628849,2629599,750,0.016353915099020653
62,87.675533,87.681467,1,2630265,2630444,179,0.33406311663088206
63,87.773567,87.7769,1,2633207,2633307,100,
64,87.798967,87.802667,1,2633969,2634080,111,
65,87.8555,87.8605,1,2635665,2635815,150,
66,87.882267,87.889433,1,2636468,2636682,214,0.3017300794809127
67,87.986433,87.993767,1,2639592,2639813,221,0.3250070065321019
68,87.997133,88.001133,1,2639913,2640033,120,0.005317789666080201
69,88.020367,88.0302,1,2640611,2640906,295,0.4785470729962979
70,88.042567,88.0481,1,2641277,2641443,166,0.18956520290490342
71,88.064567,88.094467,1,2641937,2642834,897,0.04934174806537273
72,88.135067,88.141767,1,2644052,2644253,201,-0.1927684113298612
73,88.142933,88.160967,1,2644287,2644829,542,0.4731084238487289
74,88.534333,88.5405,1,2656029,2656215,186,0.2503539962694039
75,88.7421,88.7561,1,2662263,2662683,420,0.45352534707805314
76,88.7584,88.859833,1,2662752,2665794,3042,0.7820059177615801
77,92.236567,92.240633,1,2767097,2767218,121,0.6566823358958916
